provinceName,districtName,country,percentage
서울특별시,양천구,사우디아라비아,0.2
서울특별시,양천구,아랍에미리트,0.1
서울특별시,영등포구,중국,33.8
서울특별시,영등포구,일본,12.4
서울특별시,영등포구,대만,10.8
서울특별시,영등포구,기타,6.7
서울특별시,영등포구,미국,5.4
서울특별시,영등포구,홍콩,4.9
서울특별시,영등포구,인도네시아,3.6
서울특별시,영등포구,싱가포르,3.4
서울특별시,영등포구,필리핀,2.6
서울특별시,영등포구,말레이시아,2.4
서울특별시,영등포구,캐나다,1.9
서울특별시,영등포구,태국,1.7
서울특별시,영등포구,독일,1.6
서울특별시,영등포구,베트남,1.6
서울특별시,영등포구,프랑스,1.2
서울특별시,영등포구,오스트레일리아,1.1
서울특별시,영등포구,영국,1.0
서울특별시,영등포구,인도,0.9
서울특별시,영등포구,러시아,0.9
서울특별시,영등포구,몽골,0.7
서울특별시,영등포구,카자흐스탄,0.5
서울특별시,영등포구,튀르키예,0.4
서울특별시,영등포구,사우디아라비아,0.3
서울특별시,영등포구,멕시코,0.2
서울특별시,영등포구,아랍에미리트,0.1
서울특별시,용산구,일본,19.1
서울특별시,용산구,중국,15.5
서울특별시,용산구,대만,9.9
서울특별시,용산구,기타,9.9
서울특별시,용산구,미국,6.5
서울특별시,용산구,싱가포르,4.9
서울특별시,용산구,홍콩,4.8
서울특별시,용산구,인도네시아,3.8
서울특별시,용산구,말레이시아,3.7
서울특별시,용산구,필리핀,3.6
서울특별시,용산구,독일,3.0
서울특별시,용산구,프랑스,2.0
서울특별시,용산구,캐나다,1.9
서울특별시,용산구,태국,1.6
서울특별시,용산구,영국,1.4
서울특별시,용산구,오스트레일리아,1.4
서울특별시,용산구,인도,1.4
서울특별시,용산구,러시아,1.3
서울특별시,용산구,베트남,1.3
서울특별시,용산구,카자흐스탄,0.6
서울특별시,용산구,튀르키예,0.6
서울특별시,용산구,몽골,0.6
서울특별시,용산구,사우디아라비아,0.5
서울특별시,용산구,멕시코,0.4
서울특별시,용산구,아랍에미리트,0.1
서울특별시,은평구,중국,21.5
서울특별시,은평구,대만,10.1
서울특별시,은평구,기타,9.7
서울특별시,은평구,일본,9.0
서울특별시,은평구,미국,7.7
